state,state_abbr,dc_count,dc_mw
Virginia,VA,358,8200
Texas,TX,179,4800
California,CA,214,4200
Georgia,GA,89,2800
Illinois,IL,72,1900
Arizona,AZ,81,2100
Oregon,OR,62,1400
Washington,WA,58,1300
Ohio,OH,54,1200
New York,NY,67,1500
Florida,FL,73,1600
North Carolina,NC,48,1050
New Jersey,NJ,51,1100
Colorado,CO,44,980
Tennessee,TN,28,620
Pennsylvania,PA,35,780
Missouri,MO,22,490
Michigan,MI,19,420
Maryland,MD,31,680
Indiana,IN,18,400
Minnesota,MN,21,460
South Carolina,SC,14,310
Alabama,AL,10,220
Wisconsin,WI,12,260
Louisiana,LA,9,200
Oklahoma,OK,11,240
Kentucky,KY,8,175
Arkansas,AR,6,130
Mississippi,MS,5,110
Massachusetts,MA,29,640
Connecticut,CT,16,350
