state,state_abbr,disconnections_2024,customers_2024
Alabama,AL,748321,2100000
Arizona,AZ,412000,3100000
Arkansas,AR,198000,1350000
California,CA,892000,14200000
Colorado,CO,187000,2400000
Connecticut,CT,143000,1500000
Florida,FL,1500000,10123456
Georgia,GA,950000,4500000
Illinois,IL,510000,5400000
Indiana,IN,340000,2900000
Kentucky,KY,212000,2000000
Louisiana,LA,388000,2100000
Maryland,MD,210000,2500000
Massachusetts,MA,178000,2900000
Michigan,MI,460000,4400000
Minnesota,MN,198000,2500000
Mississippi,MS,188000,1250000
Missouri,MO,298000,2900000
New Jersey,NJ,310000,3700000
New York,NY,510000,8100000
North Carolina,NC,510000,4900000
Ohio,OH,720000,5600000
Oklahoma,OK,388000,1900000
Oregon,OR,112000,1900000
Pennsylvania,PA,498000,5900000
South Carolina,SC,298000,2300000
Tennessee,TN,510000,3200000
Texas,TX,850000,12000000
Virginia,VA,230000,3456789
Washington,WA,143000,3200000
Wisconsin,WI,198000,2800000
